	x	y	z	#SampleID	ANONYMIZED_NAME	COLLECTION_TIMESTAMP	DEPTH	DESCRIPTION	ELEVATION	ENV_BIOME	ENV_FEATURE	ENV_MATERIAL	ENV_package	LATITUDE	LONGITUDE	Scientific_name	TAXON_ID	TITLE	cell_width	cell_width_units	cheese type	cheese_name	corrected_genomics_barcode	corrected_metabolomics_barcode	date_collected	genomics_barcode	grid_position	metabolomics_barcode	pH	plate_name	radius	recorded_genomics_barcode	recorded_metabolomics_barcode	sample_name	source	well_position
stilton.K1	-13.65471111	-9.059165778	4.465	11	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56020	K1	56021	7.11	Stilton_1	0.5	56020	56021	Not applicable	Stilton Whole Foods Market Borough Market	C2
stilton.L1	-13.62517222	-9.940320056	4.33629	12	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56022	L1	56023	7.1	Stilton_1	0.5	56022	56023	Not applicable	Stilton Whole Foods Market Borough Market	D2
stilton.M1	-13.59563333	-10.82147433	4.20758	13	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56024	M1	56025	7.2	Stilton_1	0.5	56024	56025	Not applicable	Stilton Whole Foods Market Borough Market	E2
stilton.N1	-13.56609444	-11.70262861	4.07887	14	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56026	N1	56027	7.16	Stilton_1	0.5	56026	56027	Not applicable	Stilton Whole Foods Market Borough Market	F2
stilton.O1	-13.53655556	-12.58378289	3.95016	15	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56028	O1	56029	7.21	Stilton_1	0.5	56028	56029	Not applicable	Stilton Whole Foods Market Borough Market	G2
stilton.P1	-13.50701667	-13.46493717	3.82145	16	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56030	P1	56031	7.22	Stilton_1	0.5	56030	56031	Not applicable	Stilton Whole Foods Market Borough Market	H2
stilton.Q1	-13.47747778	-14.34609144	3.69274	17	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56032	Q1	56033	7.32	Stilton_1	0.5	56032	56033	Not applicable	Stilton Whole Foods Market Borough Market	A3
stilton.R1	-13.44793889	-15.22724572	3.56403	18	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56034	R1	56035	7.14	Stilton_1	0.5	56034	56035	Not applicable	Stilton Whole Foods Market Borough Market	B3
stilton.S1	-13.4184	-16.1084	3.43532	19	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56036	S1	56037	7.13	Stilton_1	0.5	56036	56037	Not applicable	Stilton Whole Foods Market Borough Market	C3
stilton.A2	-13.06021471	-0.257624059	5.820135294	20	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56038	A2	56039	7.31	Stilton_1	0.5	56038	56039	Not applicable	Stilton Whole Foods Market Borough Market	D3
stilton.B2	-13.03067582	-1.138778337	5.691425294	21	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56040	B2	56041	6.87	Stilton_1	0.5	56040	56041	Not applicable	Stilton Whole Foods Market Borough Market	E3
stilton.C2	-13.00113693	-2.019932614	5.562715294	22	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56042	C2	56043	6.93	Stilton_1	0.5	56042	56043	Not applicable	Stilton Whole Foods Market Borough Market	F3
stilton.D2	-12.97159804	-2.901086892	5.434005294	23	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56044	D2	56045	6.97	Stilton_1	0.5	56044	56045	Not applicable	Stilton Whole Foods Market Borough Market	G3
stilton.E2	-12.94205915	-3.78224117	5.305295294	24	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56046	E2	56047	6.84	Stilton_1	0.5	56046	56047	Not applicable	Stilton Whole Foods Market Borough Market	H3
stilton.F2	-12.91252026	-4.663395448	5.176585294	25	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56048	F2	56049	6.82	Stilton_1	0.5	56048	56049	Not applicable	Stilton Whole Foods Market Borough Market	A4
stilton.G2	-12.88298137	-5.544549725	5.047875294	26	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56050	G2	56051	6.75	Stilton_1	0.5	56050	56051	Not applicable	Stilton Whole Foods Market Borough Market	B4
stilton.H2	-12.85344248	-6.425704003	4.919165294	27	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56052	H2	56053	6.74	Stilton_1	0.5	56052	56053	Not applicable	Stilton Whole Foods Market Borough Market	C4
stilton.I2	-12.82390359	-7.306858281	4.790455294	28	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56054	I2	56055	6.71	Stilton_1	0.5	56054	56055	Not applicable	Stilton Whole Foods Market Borough Market	D4
stilton.J2	-12.79436471	-8.188012559	4.661745294	29	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56056	J2	56057	6.84	Stilton_1	0.5	56056	56057	Not applicable	Stilton Whole Foods Market Borough Market	E4
stilton.K2	-12.76482582	-9.069166837	4.533035294	30	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	56059	56058	7/21/16	56059	K2	56058	6.77	Stilton_1	0.5	56058	56059	Not applicable	Stilton Whole Foods Market Borough Market	F4
stilton.L2	-12.73528693	-9.950321114	4.404325294	31	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56060	L2	56061	6.93	Stilton_1	0.5	56060	56061	Not applicable	Stilton Whole Foods Market Borough Market	G4
stilton.M2	-12.70574804	-10.83147539	4.275615294	32	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	56063	56062	7/21/16	56063	M2	56062	6.87	Stilton_1	0.5	56062	56063	Not applicable	Stilton Whole Foods Market Borough Market	H4
stilton.N2	-12.67620915	-11.71262967	4.146905294	33	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56064	N2	56065	6.89	Stilton_1	0.5	56064	56065	Not applicable	Stilton Whole Foods Market Borough Market	A5
stilton.O2	-12.64667026	-12.59378395	4.018195294	34	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	56067	56066	7/21/16	56067	O2	56066	6.94	Stilton_1	0.5	56066	56067	Not applicable	Stilton Whole Foods Market Borough Market	B5
stilton.P2	-12.61713137	-13.47493823	3.889485294	35	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56068	P2	56069	7.04	Stilton_1	0.5	56068	56069	Not applicable	Stilton Whole Foods Market Borough Market	C5
stilton.Q2	-12.58759248	-14.3560925	3.760775294	36	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	56071	56070	7/21/16	56071	Q2	56070	7.02	Stilton_1	0.5	56070	56071	Not applicable	Stilton Whole Foods Market Borough Market	D5
stilton.R2	-12.55805359	-15.23724678	3.632065294	37	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56072	R2	56073	6.91	Stilton_1	0.5	56072	56073	Not applicable	Stilton Whole Foods Market Borough Market	E5
stilton.S2	-12.52851471	-16.11840106	3.503355294	38	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56074	S2	56075	6.92	Stilton_1	0.5	56074	56075	Not applicable	Stilton Whole Foods Market Borough Market	F5
stilton.A3	-12.17032941	-0.267625118	5.888170588	39	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56076	A3	56077	7.08	Stilton_1	0.5	56076	56077	Not applicable	Stilton Whole Foods Market Borough Market	G5
stilton.B3	-12.14079052	-1.148779395	5.759460588	40	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	56079	56078	7/21/16	56079	B3	56078	6.95	Stilton_1	0.5	56078	56079	Not applicable	Stilton Whole Foods Market Borough Market	H5
stilton.C3	-12.11125163	-2.029933673	5.630750588	41	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56080	C3	56081	6.83	Stilton_1	0.5	56080	56081	Not applicable	Stilton Whole Foods Market Borough Market	A6
stilton.D3	-12.08171275	-2.911087951	5.502040588	42	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56082	D3	56083	6.79	Stilton_1	0.5	56082	56083	Not applicable	Stilton Whole Foods Market Borough Market	B6
stilton.E3	-12.05217386	-3.792242229	5.373330588	43	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56084	E3	56085	6.9	Stilton_1	0.5	56084	56085	Not applicable	Stilton Whole Foods Market Borough Market	C6
stilton.F3	-12.02263497	-4.673396507	5.244620588	44	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56086	F3	56087	6.74	Stilton_1	0.5	56086	56087	Not applicable	Stilton Whole Foods Market Borough Market	D6
stilton.G3	-11.99309608	-5.554550784	5.115910588	45	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56088	G3	56089	6.72	Stilton_1	0.5	56088	56089	Not applicable	Stilton Whole Foods Market Borough Market	E6
stilton.H3	-11.96355719	-6.435705062	4.987200588	46	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56090	H3	56091	6.68	Stilton_1	0.5	56090	56091	Not applicable	Stilton Whole Foods Market Borough Market	F6
stilton.I3	-11.9340183	-7.31685934	4.858490588	47	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56092	I3	56093	6.69	Stilton_1	0.5	56092	56093	Not applicable	Stilton Whole Foods Market Borough Market	G6
stilton.J3	-11.90447941	-8.198013618	4.729780588	48	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56094	J3	56095	6.67	Stilton_1	0.5	56094	56095	Not applicable	Stilton Whole Foods Market Borough Market	H6
stilton.K3	-11.87494052	-9.079167895	4.601070588	49	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56096	K3	56097	6.74	Stilton_1	0.5	56096	56097	Not applicable	Stilton Whole Foods Market Borough Market	A7
stilton.L3	-11.84540163	-9.960322173	4.472360588	50	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56098	L3	56099	6.77	Stilton_1	0.5	56098	56099	Not applicable	Stilton Whole Foods Market Borough Market	B7
stilton.M3	-11.81586275	-10.84147645	4.343650588	51	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56100	M3	56101	6.82	Stilton_1	0.5	56100	56101	Not applicable	Stilton Whole Foods Market Borough Market	C7
stilton.N3	-11.78632386	-11.72263073	4.214940588	52	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56102	N3	56103	6.84	Stilton_1	0.5	56102	56103	Not applicable	Stilton Whole Foods Market Borough Market	D7
stilton.O3	-11.75678497	-12.60378501	4.086230588	53	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56104	O3	56105	6.98	Stilton_1	0.5	56104	56105	Not applicable	Stilton Whole Foods Market Borough Market	E7
stilton.P3	-11.72724608	-13.48493928	3.957520588	54	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56106	P3	56107	6.99	Stilton_1	0.5	56106	56107	Not applicable	Stilton Whole Foods Market Borough Market	F7
stilton.Q3	-11.69770719	-14.36609356	3.828810588	55	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56108	Q3	56109	6.96	Stilton_1	0.5	56108	56109	Not applicable	Stilton Whole Foods Market Borough Market	G7
stilton.R3	-11.6681683	-15.24724784	3.700100588	56	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56110	R3	56111	6.97	Stilton_1	0.5	56110	56111	Not applicable	Stilton Whole Foods Market Borough Market	H7
stilton.S3	-11.63862941	-16.12840212	3.571390588	57	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56112	S3	56113	6.9	Stilton_1	0.5	56112	56113	Not applicable	Stilton Whole Foods Market Borough Market	A8
stilton.A4	-11.28044412	-0.277626176	5.956205882	58	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56114	A4	56115	7.24	Stilton_1	0.5	56114	56115	Not applicable	Stilton Whole Foods Market Borough Market	B8
stilton.B4	-11.25090523	-1.158780454	5.827495882	59	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56116	B4	56117	6.87	Stilton_1	0.5	56116	56117	Not applicable	Stilton Whole Foods Market Borough Market	C8
