	x	y	z	#SampleID	ANONYMIZED_NAME	COLLECTION_TIMESTAMP	DEPTH	DESCRIPTION	ELEVATION	ENV_BIOME	ENV_FEATURE	ENV_MATERIAL	ENV_package	LATITUDE	LONGITUDE	Scientific_name	TAXON_ID	TITLE	cell_width	cell_width_units	cheese type	cheese_name	corrected_genomics_barcode	corrected_metabolomics_barcode	date_collected	genomics_barcode	grid_position	metabolomics_barcode	pH	plate_name	radius	recorded_genomics_barcode	recorded_metabolomics_barcode	sample_name	source	well_position
stilton.A1	-13.9501	-0.247623	5.7521	1	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56000	A1	56001	7.01	Stilton_1	0.5	56000	56001	Not applicable	Stilton Whole Foods Market Borough Market	A1
stilton.B1	-13.92056111	-1.128777278	5.62339	2	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56002	B1	56003	7.09	Stilton_1	0.5	56002	56003	Not applicable	Stilton Whole Foods Market Borough Market	B1
stilton.C1	-13.89102222	-2.009931556	5.49468	3	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56004	C1	56005	7.2	Stilton_1	0.5	56004	56005	Not applicable	Stilton Whole Foods Market Borough Market	C1
stilton.D1	-13.86148333	-2.891085833	5.36597	4	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56006	D1	56007	7.22	Stilton_1	0.5	56006	56007	Not applicable	Stilton Whole Foods Market Borough Market	D1
stilton.E1	-13.83194444	-3.772240111	5.23726	5	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56008	E1	56009	7.1	Stilton_1	0.5	56008	56009	Not applicable	Stilton Whole Foods Market Borough Market	E1
stilton.F1	-13.80240556	-4.653394389	5.10855	6	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56010	F1	56011	7.14	Stilton_1	0.5	56010	56011	Not applicable	Stilton Whole Foods Market Borough Market	F1
stilton.G1	-13.77286667	-5.534548667	4.97984	7	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56012	G1	56013	7.16	Stilton_1	0.5	56012	56013	Not applicable	Stilton Whole Foods Market Borough Market	G1
stilton.H1	-13.74332778	-6.415702944	4.85113	8	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56014	H1	56015	7.15	Stilton_1	0.5	56014	56015	Not applicable	Stilton Whole Foods Market Borough Market	H1
stilton.I1	-13.71378889	-7.296857222	4.72242	9	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56016	I1	56017	7.21	Stilton_1	0.5	56016	56017	Not applicable	Stilton Whole Foods Market Borough Market	A2
stilton.J1	-13.68425	-8.1780115	4.59371	10	Stilton	7/19/16	0	5 x 5 mm cube of cheese	251	ENVO: blue cheese	ENVO: blue cheese	ENVO: blue cheese	build environment	117.2713	32.8328	Not applicable	Not applicable	cheese niche study	5	mm	stilton	Stilton Whole Foods Market Borough Market	Not applicable	Not applicable	7/21/16	56018	J1	56019	7.21	Stilton_1	0.5	56018	56019	Not applicable	Stilton Whole Foods Market Borough Market	B2
